produkt,cena,ilosc,rng
Produkt E,516,4,0.83
Produkt A,597,19,0.5
Produkt D,891,33,0.73
Produkt E,581,2,0.05
Produkt D,73,5,0.96
Produkt C,658,64,0.96
Produkt D,527,87,0.08
Produkt B,872,95,0.25
Produkt A,809,62,0.29
Produkt B,478,25,0.35
Produkt D,93,I Do pieca,0.99
Produkt A,688,8,0.33
Produkt B,243,85,0.28
Produkt E,363,52,0.86
I Do pieca,58,Produkt D,1.0
I Do pieca,72,90,0.22
Produkt A,457,26,0.07
Produkt B,30,46,0.05
I Do pieca,886,42,0.28
Produkt B,906,37,0.62
Produkt C,877,27,0.33
Produkt B,286,83,0.03
Produkt E,419,73,0.22
Produkt C,767,87,0.02
Produkt E,14,33,0.4
Produkt A,54,59,0.35
Produkt D,509,55,0.27
Produkt D,295,45,0.68
Produkt C,414,19,0.17
Produkt D,446,93,0.68
Produkt E,9,81,0.15
Produkt B,174,48,0.87
Produkt C,577,77,0.62
Produkt B,404,56,0.57
Produkt D,234,53,0.35
Produkt D,939,92,0.12
Produkt D,75,52,0.96
Produkt B,372,76,0.23
I Do pieca,639,17,0.67
Produkt E,7,9,0.17
Produkt D,9,45,0.73
Produkt A,126,67,0.27
Produkt A,548,86,0.58
Produkt A,647,45,0.04
Produkt A,377,90,0.68
Produkt C,695,40,0.58
Produkt A,192,70,0.85
Produkt A,686,86,0.4
Produkt A,242,38,0.88
Produkt A,980,64,0.79
Produkt C,404,81,0.93
Produkt A,550,25,0.46
Produkt A,130,19,0.11
Produkt E,779,48,0.66
Produkt E,489,55,0.08
Produkt D,Produkt A,78,0.01
I Do pieca,487,16,0.49
Produkt A,672,77,0.36
67,306,23,0.74
Produkt E,995,16,0.26
Produkt B,640,66,0.79
Produkt B,880,10,0.48
Produkt D,795,52,0.9
Produkt A,59,83,0.88
Produkt D,134,82,0.08
Produkt A,428,79,0.24
Produkt D,86,90,0.91
Produkt A,790,56,0.51
Produkt B,874,82,0.98
Produkt B,542,5,0.81
Produkt A,468,95,0.29
Produkt E,600,85,0.07
Produkt B,596,68,0.98
Produkt D,667,85,0.35
Produkt D,405,16,0.87
Produkt D,534,86,0.08
Produkt C,888,90,0.58
Produkt A,458,76,0.4
Produkt C,537,25,0.85
Produkt B,893,45,0.31
Produkt D,607,39,0.67
I Do pieca,875,18,0.54
Produkt D,260,58,0.31
Produkt B,186,26,0.37
Produkt E,461,55,0.87
Produkt A,370,1,0.41
Produkt B,895,23,0.48
Produkt A,107,17,0.1
Produkt D,944,90,0.94
I Do pieca,484,33,0.61
Produkt E,256,54,0.06
Produkt D,143,80,0.07
Produkt D,209,95,0.88
I Do pieca,538,45,0.66
Produkt D,344,85,0.58
Produkt C,879,85,0.64
Produkt B,807,4,0.45
Produkt B,542,61,0.81
Produkt B,765,100,0.17
Produkt C,903,86,0.67
I Do pieca,634,44,0.57
Produkt B,694,99,0.93
Produkt B,930,89,0.78
Produkt B,64,70,0.58
Produkt B,571,83,0.24
I Do pieca,39,48,0.79
Produkt A,178,31,0.32
Produkt A,425,27,0.1
Produkt C,166,94,0.56
Produkt D,949,7,0.38
Produkt A,850,65,0.91
Produkt C,689,79,0.19
Produkt A,994,72,0.09
I Do pieca,477,68,0.17
Produkt D,260,26,0.08
Produkt B,44,53,0.86
Produkt D,354,48,0.24
Produkt C,71,57,0.13
Produkt A,34,59,0.11
Produkt A,949,72,0.54
Produkt A,362,100,0.34
Produkt E,957,58,0.89
Produkt A,984,1,0.89
Produkt D,528,55,0.75
Produkt A,777,4,0.44
I Do pieca,596,41,0.12
Produkt A,282,77,0.73
Produkt A,123,97,0.87
Produkt A,190,85,0.6
Produkt B,290,89,0.21
Produkt D,386,36,0.78
Produkt D,590,96,0.93
Produkt D,96,39,0.67
Produkt A,726,54,0.37
67,848,59,0.6
Produkt B,237,23,0.23
Produkt C,767,81,0.2
Produkt C,666,66,0.09
Produkt D,76,96,0.67
Produkt C,433,56,0.99
Produkt B,793,96,0.68
Produkt B,248,88,0.02
Produkt B,808,77,0.05
Produkt E,945,47,0.92
Produkt E,819,56,0.73
I Do pieca,818,32,0.88
Produkt C,572,10,0.97
Produkt E,383,46,0.67
Produkt C,991,59,0.15
Produkt B,315,15,0.2
Produkt C,834,13,0.96
I Do pieca,118,83,0.3
Produkt A,519,47,0.13
Produkt D,868,67,0.86
Produkt C,405,21,0.37
Produkt C,951,78,0.96
Produkt C,284,21,0.63
Produkt D,600,50,0.42
Produkt A,61,5,0.62
Produkt D,214,60,0.61
Produkt C,94,19,0.77
67,436,25,0.06
I Do pieca,657,83,0.09
Produkt C,127,32,0.42
Produkt A,321,15,0.77
Produkt B,919,6,0.22
Produkt D,26,53,0.35
Produkt A,318,34,0.27
67,909,74,0.53
Produkt B,169,17,0.1
Produkt A,662,3,0.91
Produkt C,673,90,0.21
Produkt C,665,64,0.73
I Do pieca,167,50,0.34
Produkt A,87,81,0.94
Produkt C,165,71,0.02
I Do pieca,184,39,0.68
Produkt C,385,54,0.89
Produkt B,370,44,0.96
Produkt C,41,52,0.55
Produkt A,284,23,0.87
Produkt A,697,29,0.06
Produkt B,120,70,0.15
Produkt B,328,100,0.13
Produkt A,697,67,0.37
Produkt A,601,28,0.33
Produkt C,537,24,0.37
Produkt D,396,75,0.95
67,138,65,0.01
67,598,66,0.33
Produkt C,749,76,0.38
Produkt B,739,14,0.81
I Do pieca,580,87,0.96
67,870,26,0.3
67,289,26,0.33
Produkt A,382,30,0.9
Produkt C,976,82,0.06
Produkt D,982,41,0.71
Produkt C,767,87,0.27
Produkt A,586,74,0.44
Produkt B,775,3,0.11
Produkt C,844,89,0.37
Produkt D,514,65,0.19
Produkt A,93,33,0.34
Produkt A,40,30,0.52
Produkt A,176,Produkt B,1.0
Produkt B,626,60,0.49
Produkt A,317,95,0.3
Produkt B,318,7,0.05
Produkt C,815,41,0.79
Produkt A,947,93,0.58
Produkt A,905,85,0.38
Produkt B,535,36,0.76
Produkt A,489,59,0.57
Produkt A,787,75,0.75
Produkt D,151,83,0.99
Produkt C,882,83,0.31
Produkt B,Produkt C,33,0.0
Produkt C,965,88,0.53
Produkt A,629,40,0.08
Produkt B,999,30,0.55
Produkt E,439,14,0.61
Produkt D,187,4,0.91
Produkt D,356,7,0.67
Produkt A,694,10,0.5
I Do pieca,700,51,0.57
Produkt B,742,97,0.23
Produkt E,164,11,0.43
Produkt C,955,27,0.55
Produkt B,163,55,0.2
Produkt C,898,89,0.6
Produkt D,477,25,0.59
Produkt D,937,63,0.62
Produkt B,733,94,0.89
Produkt B,846,20,0.55
Produkt A,523,51,0.86
Produkt B,280,93,0.57
Produkt B,246,26,0.16
Produkt E,658,63,0.24
Produkt C,647,80,0.65
Produkt C,55,99,0.48
Produkt B,300,43,0.51
Produkt D,226,88,0.32
Produkt D,951,50,0.69
67,413,100,0.93
Produkt D,808,91,0.8
Produkt D,407,67,0.44
Produkt E,215,62,0.17
67,328,35,0.81
I Do pieca,613,28,0.8
Produkt D,699,54,0.92
Produkt B,23,53,0.93
Produkt E,288,61,0.3
Produkt A,560,55,0.15
Produkt A,315,45,0.54
Produkt B,187,66,0.73
Produkt A,151,19,0.42
Produkt A,488,51,0.39
Produkt C,954,58,0.04
Produkt B,271,46,0.37
Produkt B,374,72,0.8
Produkt D,837,88,0.71
Produkt C,478,63,0.33
Produkt D,477,56,0.2
I Do pieca,925,11,0.85
I Do pieca,856,3,0.98
Produkt C,719,95,0.49
Produkt C,278,64,0.63
Produkt C,185,80,0.84
Produkt A,771,67,0.9
Produkt E,909,30,0.21
Produkt E,596,15,0.54
Produkt A,248,3,0.61
Produkt D,79,4,0.74
Produkt A,864,11,0.21
Produkt B,404,77,0.58
Produkt D,796,74,0.18
Produkt C,773,33,0.7
Produkt D,268,50,0.46
Produkt E,879,18,0.14
Produkt A,746,74,0.68
Produkt B,892,92,0.88
Produkt B,924,33,0.79
Produkt D,147,58,0.21
67,41,28,0.46
Produkt A,357,17,0.36
Produkt D,102,44,0.75
I Do pieca,990,75,0.75
Produkt D,540,78,0.02
Produkt C,828,17,0.78
Produkt B,553,60,0.88
Produkt C,669,5,0.4
Produkt A,691,79,0.65
Produkt C,747,95,0.31
Produkt C,618,29,0.24
Produkt E,185,68,0.9
67,859,20,0.71
Produkt E,664,85,0.29
Produkt C,474,78,0.63
Produkt A,997,70,0.98
I Do pieca,143,11,0.32
Produkt C,183,17,0.85
I Do pieca,920,58,0.66
Produkt A,368,34,0.77
Produkt D,302,96,0.32
Produkt A,227,25,0.07
Produkt D,940,66,0.74
Produkt A,538,51,0.35
Produkt B,298,31,0.36
I Do pieca,948,24,0.73
Produkt B,181,23,0.8
Produkt C,601,82,0.32
67,86,19,0.1
Produkt D,202,34,0.24
I Do pieca,945,55,0.14
Produkt C,13,70,0.88
Produkt A,312,65,0.48
Produkt E,312,91,0.73
Produkt A,608,83,0.74
Produkt C,988,61,0.88
Produkt B,147,18,0.73
Produkt D,652,2,0.48
Produkt B,670,22,0.78
Produkt C,806,20,0.16
Produkt D,57,66,0.08
Produkt A,683,39,0.91
Produkt A,395,96,0.83
Produkt E,82,55,0.23
Produkt C,516,75,0.2
Produkt A,63,14,0.62
Produkt D,693,26,0.1
Produkt B,539,21,0.76
Produkt E,935,54,0.62
Produkt C,695,10,0.79
I Do pieca,354,54,0.36
Produkt E,963,50,0.86
Produkt D,581,11,0.13
Produkt B,81,53,0.16
Produkt D,369,70,0.52
Produkt D,352,42,0.36
Produkt B,81,58,0.43
Produkt B,228,83,0.07
Produkt B,134,9,0.76
Produkt A,847,42,0.76
Produkt E,393,88,0.83
Produkt C,Produkt B,34,0.01
Produkt D,554,42,0.31
Produkt B,127,24,0.04
Produkt B,399,62,0.24
Produkt B,365,98,0.82
Produkt B,361,59,0.32
Produkt D,781,7,0.68
Produkt C,58,56,0.89
67,111,92,0.39
Produkt E,419,22,0.81
Produkt B,258,83,0.25
Produkt A,560,74,0.27
I Do pieca,377,47,0.77
Produkt B,965,43,0.96
Produkt E,170,25,0.98
Produkt D,634,36,0.91
Produkt A,307,48,0.18
Produkt C,1,54,0.38
Produkt D,614,41,0.86
Produkt B,97,69,0.09
Produkt E,666,94,0.51
Produkt D,886,6,0.51
Produkt E,196,57,0.37
Produkt A,815,17,0.19
Produkt E,580,32,0.85
Produkt A,559,50,0.38
Produkt A,624,22,0.63
67,709,66,0.15
I Do pieca,972,46,0.23
Produkt B,716,87,0.76
Produkt C,944,98,0.94
I Do pieca,685,86,0.26
Produkt C,341,45,0.56
Produkt D,34,17,0.54
Produkt C,226,35,0.15
Produkt A,936,7,0.11
Produkt D,765,45,0.3
Produkt C,895,99,0.56
Produkt A,522,85,0.1
Produkt C,703,90,0.52
Produkt C,132,59,0.92
I Do pieca,371,63,0.03
Produkt A,551,66,0.4
Produkt D,712,45,0.14
Produkt D,949,60,0.89
Produkt B,803,83,0.91
Produkt C,955,5,0.41
Produkt E,919,23,0.77
Produkt B,660,39,0.44
Produkt E,460,9,0.54
Produkt D,358,43,0.39
Produkt D,264,40,0.81
I Do pieca,417,52,0.8
Produkt C,863,57,0.09
Produkt B,635,7,0.82
I Do pieca,266,38,0.69
Produkt A,670,70,0.62
Produkt D,228,7,0.5
67,399,58,0.77
Produkt C,712,51,0.73
Produkt E,979,62,0.07
I Do pieca,547,19,0.33
Produkt C,938,82,0.1
Produkt E,830,50,0.47
67,428,21,0.08
Produkt C,720,80,0.16
Produkt C,303,24,0.32
Produkt A,477,89,0.96
Produkt D,79,66,0.14
Produkt C,416,24,0.13
I Do pieca,863,34,0.7
Produkt D,406,45,0.9
Produkt A,273,34,0.69
I Do pieca,511,15,0.11
Produkt C,938,48,0.94
Produkt E,286,25,0.66
67,821,96,0.4
Produkt B,14,58,0.34
Produkt E,369,20,0.16
Produkt E,355,63,0.8
Produkt D,778,10,0.52
Produkt D,721,21,0.66
Produkt B,267,66,0.5
Produkt D,6,34,0.5
Produkt A,400,85,0.36
Produkt A,461,38,0.34
Produkt B,820,70,0.12
Produkt A,I Do pieca,75,0.01
Produkt B,25,20,0.05
Produkt A,42,19,0.5
Produkt B,378,76,0.93
Produkt C,649,99,0.58
Produkt D,249,21,0.44
Produkt A,956,39,0.24
Produkt A,857,70,0.1
Produkt B,980,52,0.16
Produkt B,22,60,0.98
Produkt D,585,40,0.39
Produkt E,332,44,0.87
I Do pieca,364,38,0.77
Produkt B,61,Produkt E,0.99
Produkt E,124,52,0.13
Produkt C,332,32,0.9
Produkt A,24,7,0.61
I Do pieca,658,95,0.8
Produkt A,257,69,0.64
Produkt B,694,31,0.79
Produkt A,15,55,0.71
Produkt D,422,91,0.19
Produkt C,982,39,0.03
Produkt E,536,48,0.94
Produkt C,680,54,0.59
Produkt A,155,98,0.32
Produkt C,555,31,0.78
Produkt B,330,40,0.33
Produkt D,134,93,0.46
Produkt B,877,91,0.52
Produkt A,547,88,0.42
Produkt D,834,9,0.57
67,275,22,0.83
I Do pieca,36,40,0.91
Produkt D,269,11,0.9
Produkt B,302,66,0.95
Produkt C,232,90,0.7
Produkt B,404,62,0.61
Produkt A,852,32,0.26
Produkt A,907,15,0.16
Produkt C,963,45,0.07
Produkt A,927,56,0.52
Produkt E,411,46,0.56
Produkt D,589,11,0.02
Produkt D,789,8,0.31
Produkt B,175,97,0.21
Produkt B,727,16,0.39
Produkt E,332,58,0.48
Produkt D,760,17,0.03
Produkt C,805,36,0.68
Produkt D,656,38,0.34
Produkt A,977,39,0.31
Produkt B,704,7,0.53
Produkt D,223,91,0.24
Produkt C,617,32,0.66
Produkt D,255,78,0.31
Produkt C,271,78,0.83
Produkt A,766,57,0.36
Produkt B,19,90,0.23
Produkt D,40,20,0.7
Produkt E,627,26,0.2
Produkt A,829,89,0.03
I Do pieca,93,37,0.99
Produkt E,506,91,0.86
Produkt C,517,4,0.89
Produkt C,140,7,0.22
I Do pieca,777,3,0.61
Produkt C,789,19,0.28
Produkt B,605,27,0.75
Produkt E,148,3,0.65
Produkt B,165,29,0.61
Produkt D,422,13,0.24
Produkt A,568,27,0.21
Produkt B,491,Produkt B,0.99
Produkt A,626,98,0.9
Produkt B,676,72,0.52
Produkt C,879,76,0.22
I Do pieca,926,34,0.55
Produkt A,258,87,0.75
Produkt B,153,13,0.49
I Do pieca,669,56,0.8
Produkt B,567,81,0.78
Produkt E,165,98,0.35
Produkt C,105,97,0.22
Produkt C,610,59,0.86
Produkt D,761,52,0.37
Produkt C,32,83,0.72
67,686,55,0.15
Produkt A,721,47,0.93
Produkt B,780,96,0.44
Produkt C,628,15,0.22
Produkt D,561,54,0.98
Produkt B,888,20,0.03
Produkt B,710,22,0.69
Produkt E,124,56,0.57
Produkt D,90,49,0.23
Produkt C,804,67,0.36
Produkt C,829,90,0.9
Produkt B,780,6,0.89
Produkt C,247,67,0.96
Produkt C,807,64,0.66
Produkt A,667,84,0.74
Produkt D,419,38,0.95
Produkt C,971,92,0.01
Produkt A,654,51,0.06
Produkt C,661,93,0.49
67,536,12,0.09
Produkt B,113,78,0.74
Produkt E,427,80,0.6
Produkt E,454,92,0.64
Produkt E,428,3,0.14
Produkt B,172,37,0.21
Produkt A,813,28,0.02
Produkt D,264,90,0.65
Produkt D,170,15,0.34
Produkt D,358,66,0.49
Produkt C,125,94,0.36
Produkt A,451,87,0.42
I Do pieca,642,50,0.49
Produkt B,904,22,0.76
Produkt B,592,22,0.39
Produkt B,579,88,0.45
Produkt D,657,63,0.02
Produkt D,183,100,0.83
Produkt A,455,22,0.04
Produkt B,466,17,0.81
Produkt B,972,93,0.37
Produkt E,231,21,0.22
Produkt C,182,25,0.99
Produkt A,26,31,0.83
Produkt C,329,84,0.84
Produkt C,481,49,0.21
Produkt A,544,3,0.9
Produkt C,813,26,0.7
Produkt A,162,79,0.75
Produkt A,103,73,0.42
Produkt A,691,5,0.79
67,536,97,0.39
Produkt E,520,88,0.95
Produkt D,939,87,0.46
Produkt B,947,69,0.03
Produkt B,36,11,0.06
Produkt D,17,25,0.64
Produkt B,387,83,0.56
Produkt C,475,29,0.62
Produkt A,885,63,0.66
Produkt D,22,66,0.03
I Do pieca,299,50,0.59
I Do pieca,455,36,0.17
Produkt A,427,33,0.34
Produkt C,559,71,0.42
Produkt B,667,58,0.51
Produkt D,96,18,0.97
Produkt B,430,76,0.63
I Do pieca,253,24,0.59
Produkt C,779,79,0.31
Produkt A,242,57,0.08
Produkt B,231,73,0.55
Produkt B,242,14,0.22
Produkt C,295,51,0.39
Produkt C,94,95,0.68
Produkt C,339,46,0.29
I Do pieca,788,42,0.37
Produkt D,608,71,0.27
I Do pieca,631,19,0.26
Produkt A,158,19,0.76
I Do pieca,903,92,0.94
Produkt B,682,86,0.41
Produkt B,567,37,0.93
Produkt B,572,29,0.3
Produkt C,552,95,0.52
Produkt D,372,7,0.68
Produkt A,164,68,0.87
Produkt B,461,1,0.32
Produkt E,181,14,0.13
Produkt A,193,88,0.25
Produkt B,627,47,0.46
I Do pieca,565,78,0.77
Produkt D,59,36,0.04
I Do pieca,221,31,0.93
Produkt A,425,48,0.72
Produkt D,56,31,0.47
Produkt B,335,77,0.94
Produkt A,756,89,0.95
Produkt C,784,64,0.83
Produkt A,490,29,0.28
Produkt E,797,29,0.57
Produkt D,539,40,0.09
Produkt A,677,91,0.45
Produkt D,683,45,0.48
Produkt D,807,16,0.77
Produkt C,121,50,0.77
Produkt B,171,7,0.42
Produkt B,770,20,0.94
I Do pieca,929,33,0.29
Produkt C,947,91,0.97
Produkt D,140,51,0.91
Produkt B,678,59,0.45
Produkt D,214,59,0.95
Produkt C,386,96,0.92
Produkt C,972,24,0.62
Produkt A,514,72,0.55
Produkt E,44,44,0.87
67,861,71,0.03
Produkt C,627,61,0.7
Produkt A,363,77,0.87
Produkt C,235,46,0.72
Produkt C,969,41,0.48
Produkt B,939,48,0.15
Produkt C,498,4,0.1
Produkt D,492,7,0.84
Produkt A,680,44,0.58
Produkt B,349,70,0.39
Produkt C,551,47,0.33
Produkt A,793,50,0.73
Produkt C,233,2,0.43
Produkt D,248,78,0.68
Produkt C,556,38,0.46
Produkt B,200,17,0.25
Produkt D,58,1,0.46
Produkt B,508,56,0.47
Produkt C,684,48,0.8
Produkt D,264,18,0.05
67,431,29,0.75
Produkt A,659,25,0.83
Produkt A,481,25,0.4
Produkt A,715,98,0.72
Produkt B,343,35,0.26
Produkt B,177,21,0.37
Produkt C,726,32,0.54
Produkt A,22,42,0.79
67,901,11,0.31
Produkt A,376,9,0.75
Produkt E,800,46,0.09
Produkt A,607,98,0.2
Produkt A,923,36,0.27
Produkt B,47,99,0.04
Produkt E,247,62,0.51
Produkt D,740,2,0.46
Produkt C,304,7,0.39
I Do pieca,906,98,0.25
Produkt C,745,48,0.12
Produkt C,13,89,0.31
I Do pieca,502,45,0.02
Produkt E,929,52,0.23
Produkt B,97,12,0.65
Produkt D,351,68,0.53
Produkt A,214,50,0.86
Produkt D,770,67,0.39
Produkt A,205,70,0.88
Produkt E,789,48,0.53
Produkt A,477,76,0.16
Produkt B,881,61,0.24
Produkt C,88,7,0.1
Produkt A,856,80,0.57
Produkt B,454,83,0.16
67,771,46,0.46
Produkt D,559,100,0.93
Produkt E,29,60,0.52
Produkt B,855,85,0.65
Produkt C,172,61,0.25
Produkt A,959,57,0.38
Produkt B,175,74,0.1
Produkt C,793,8,0.41
Produkt B,21,21,0.73
Produkt B,239,27,0.26
Produkt D,624,38,0.98
Produkt A,863,56,0.24
Produkt E,485,91,0.76
Produkt A,230,25,0.77
Produkt B,91,38,0.64
Produkt C,86,3,0.63
I Do pieca,33,88,0.11
Produkt C,684,61,0.7
Produkt A,952,71,0.26
Produkt D,826,19,0.8
I Do pieca,103,26,0.3
Produkt D,532,37,0.88
Produkt D,747,61,0.18
I Do pieca,544,13,0.12
Produkt C,714,87,0.26
Produkt E,611,88,0.39
Produkt C,383,58,0.5
Produkt D,969,84,0.26
Produkt D,703,49,0.55
Produkt A,319,2,0.43
Produkt C,301,57,0.3
Produkt A,15,20,0.3
Produkt E,936,51,0.76
Produkt A,839,37,0.71
Produkt E,345,78,0.6
Produkt A,692,5,0.68
Produkt E,680,89,0.14
Produkt A,482,94,0.45
Produkt E,269,57,0.28
Produkt E,539,63,0.24
Produkt D,298,2,0.98
Produkt B,711,11,0.72
Produkt D,69,45,0.11
Produkt D,183,54,0.45
Produkt B,176,54,0.42
Produkt A,384,68,0.54
Produkt D,124,18,0.33
Produkt C,708,70,0.79
Produkt C,589,46,0.89
Produkt B,186,41,0.83
Produkt B,711,90,0.67
Produkt D,539,34,0.69
Produkt D,644,84,0.3
Produkt E,767,Produkt C,1.0
Produkt E,744,49,0.93
Produkt A,190,44,0.93
Produkt B,184,6,0.77
Produkt D,971,22,0.36
67,776,62,0.25
I Do pieca,845,63,0.1
I Do pieca,162,7,0.76
Produkt C,645,97,0.74
Produkt C,210,21,0.89
Produkt D,768,74,0.28
Produkt B,11,13,0.86
Produkt E,55,34,0.66
Produkt C,557,66,0.68
Produkt E,264,4,0.15
Produkt A,868,51,0.7
Produkt C,854,35,0.64
Produkt C,582,12,0.5
Produkt C,300,88,0.82
Produkt B,406,8,0.17
Produkt B,342,95,0.12
Produkt A,944,4,0.68
Produkt D,6,95,0.74
Produkt A,281,88,0.63
Produkt B,Produkt C,32,0.01
Produkt B,228,73,0.64
Produkt B,293,28,0.01
I Do pieca,920,42,0.46
Produkt A,749,79,0.47
I Do pieca,478,9,0.77
67,534,53,0.27
Produkt E,872,68,0.71
Produkt D,553,22,0.51
Produkt D,608,83,0.7
Produkt B,676,33,0.14
Produkt D,1000,81,0.35
Produkt B,329,60,0.2
Produkt D,980,42,0.21
Produkt E,509,24,0.92
Produkt C,898,83,0.93
Produkt B,76,68,0.3
Produkt C,Produkt A,70,0.0
Produkt D,148,100,0.87
Produkt C,43,96,0.16
Produkt A,756,25,0.71
Produkt B,Produkt E,22,0.0
Produkt C,330,48,0.72
Produkt D,912,39,0.11
Produkt A,109,48,0.49
Produkt B,188,56,0.96
Produkt A,589,13,0.65
Produkt A,607,62,0.42
I Do pieca,352,37,0.29
Produkt C,875,34,0.09
Produkt E,29,61,0.8
Produkt B,874,63,0.08
Produkt B,774,80,0.13
Produkt B,312,68,0.72
Produkt C,902,86,0.66
Produkt B,457,43,0.59
Produkt E,656,56,0.67
Produkt D,812,48,0.75
Produkt A,674,36,0.47
Produkt C,848,26,0.45
Produkt C,914,31,0.38
Produkt E,906,94,0.75
Produkt B,145,5,0.33
Produkt B,152,87,0.3
Produkt C,93,95,0.12
Produkt C,723,76,0.3
Produkt D,143,56,0.34
Produkt B,825,44,0.35
Produkt C,677,8,0.76
Produkt A,724,73,0.28
Produkt C,453,57,0.39
Produkt D,426,93,0.15
Produkt A,390,58,0.5
Produkt B,647,4,0.98
Produkt E,538,36,0.63
Produkt B,301,89,0.23
Produkt E,78,25,0.19
Produkt A,132,45,0.92
Produkt E,813,Produkt A,1.0
Produkt A,431,18,0.51
Produkt E,228,85,0.15
Produkt C,183,21,0.43
Produkt C,479,70,0.34
67,806,15,0.55
Produkt E,234,83,0.42
Produkt E,839,34,0.17
Produkt D,371,45,0.33
Produkt A,87,79,0.74
Produkt B,306,26,0.83
Produkt A,299,73,0.77
Produkt A,93,32,0.27
I Do pieca,724,48,0.05
Produkt A,783,88,0.41
Produkt D,441,17,0.06
Produkt D,27,46,0.97
Produkt E,321,24,0.42
Produkt B,806,77,0.4
Produkt D,504,56,0.87
Produkt B,497,27,0.56
Produkt E,594,100,0.78
Produkt C,71,34,0.4
Produkt D,557,15,0.9
Produkt A,9,69,0.13
Produkt B,413,2,0.32
Produkt E,121,75,0.45
Produkt C,482,43,0.7
Produkt B,699,63,0.53
Produkt B,124,34,0.86
Produkt D,551,18,0.31
Produkt B,114,67,0.49
Produkt C,839,93,0.38
Produkt C,186,12,0.9
I Do pieca,973,40,0.41
Produkt A,250,51,0.1
Produkt A,625,30,0.76
Produkt D,640,31,0.21
Produkt A,806,27,0.71
Produkt D,911,16,0.75
Produkt B,113,50,0.07
Produkt B,856,92,0.06
Produkt D,799,87,0.91
Produkt C,774,1,0.12
Produkt B,157,64,0.69
Produkt B,344,36,0.59
Produkt D,168,4,0.08
Produkt B,881,2,0.05
I Do pieca,69,52,0.75
Produkt B,961,48,0.07
Produkt E,654,85,0.22
Produkt B,886,57,0.6
Produkt B,135,42,0.65
Produkt E,517,83,0.08
Produkt A,167,76,0.89
Produkt B,153,89,0.86
Produkt A,264,33,0.2
Produkt B,289,58,0.11
Produkt B,419,18,0.65
Produkt C,91,38,0.48
Produkt D,162,4,0.83
Produkt B,531,65,0.27
Produkt A,719,24,0.99
Produkt A,222,28,0.4
Produkt B,863,71,0.69
Produkt C,833,91,0.15
Produkt C,894,22,0.06
Produkt C,943,66,0.16
Produkt D,802,54,0.53
Produkt A,969,38,0.61
I Do pieca,435,99,0.96
Produkt B,843,8,0.38
Produkt B,724,53,0.87
Produkt A,994,92,0.95
Produkt C,614,36,0.75
Produkt D,596,51,0.11
67,344,89,0.55
Produkt B,385,49,0.97
Produkt D,238,88,0.14
Produkt B,502,94,0.57
Produkt D,107,6,0.38
Produkt C,857,86,0.13
Produkt D,551,62,0.54
Produkt D,445,100,0.42
Produkt E,587,92,0.05
Produkt E,606,47,0.9
Produkt D,617,62,0.85
Produkt E,315,57,0.25
Produkt C,617,13,0.91
Produkt A,4,12,0.68
Produkt E,55,55,0.83
Produkt B,812,54,0.26
Produkt C,891,48,0.18
Produkt A,325,99,0.97
Produkt C,229,79,0.46
Produkt A,801,18,0.92
Produkt E,746,9,0.61
Produkt A,323,74,0.19
Produkt D,175,39,0.15
Produkt C,461,14,0.59
Produkt D,914,93,0.62
Produkt B,340,76,0.24
Produkt C,722,82,0.83
Produkt C,641,85,0.8
Produkt C,369,82,0.52
Produkt A,407,19,0.62
Produkt B,69,83,0.45
Produkt C,44,75,0.93
Produkt D,135,26,0.95
Produkt E,446,81,0.74
Produkt C,210,46,0.42
Produkt A,199,17,0.77
Produkt C,806,25,0.65
Produkt A,196,31,0.41
Produkt D,49,78,0.45
Produkt C,627,62,0.89
Produkt E,920,70,0.7
Produkt C,277,73,0.62
Produkt D,472,97,0.87
Produkt D,766,24,0.82
Produkt E,994,98,0.13
Produkt C,973,33,0.61
Produkt D,514,72,0.87
Produkt A,514,77,0.65
Produkt A,778,50,0.76
Produkt B,786,85,0.13
Produkt B,951,48,0.26
Produkt C,445,54,0.51
Produkt A,299,50,0.78
Produkt B,396,46,0.41
Produkt B,762,31,0.17
67,334,22,0.44
Produkt B,795,12,0.4
Produkt C,960,84,0.73
Produkt A,577,96,0.8
Produkt D,380,52,0.14
Produkt D,823,66,0.26
Produkt C,965,63,0.06
Produkt E,395,93,0.77
Produkt C,228,96,0.81
Produkt E,831,56,0.27
I Do pieca,719,23,0.72
Produkt C,605,88,0.13
Produkt B,294,64,0.74
I Do pieca,470,88,0.59
Produkt E,268,69,0.83
Produkt D,873,25,0.04
Produkt D,922,22,0.87
Produkt B,923,61,0.76
Produkt C,910,99,0.07
Produkt B,78,73,0.82
Produkt B,695,26,0.54
Produkt E,39,57,0.47
Produkt A,706,50,0.17
Produkt B,138,82,0.03
Produkt A,541,39,0.05
Produkt B,218,93,0.37
Produkt C,552,15,0.27
Produkt B,432,82,0.74
Produkt A,814,23,0.92
Produkt A,84,11,0.85
67,256,36,0.75
Produkt D,779,80,0.34
Produkt A,75,49,0.4
Produkt D,378,31,0.71
Produkt E,212,51,0.75
Produkt A,413,8,0.12
Produkt C,562,88,0.32
Produkt A,485,95,0.36
Produkt D,574,28,0.24
Produkt C,419,89,0.18
Produkt D,924,64,0.59
I Do pieca,813,25,0.21
Produkt D,690,80,0.85
Produkt E,777,41,0.64
